date_key,year,quarter,month,month_name,day,day_of_week,is_weekend
2017-09-09,2017,3,9,September,9,Saturday,true
2018-08-23,2018,3,8,August,23,Thursday,false
2017-07-09,2017,3,7,July,9,Sunday,true
2017-07-11,2017,3,7,July,11,Tuesday,false
2017-11-15,2017,4,11,November,15,Wednesday,false
2017-10-05,2017,4,10,October,5,Thursday,false
2017-09-03,2017,3,9,September,3,Sunday,true
2018-05-26,2018,2,5,May,26,Saturday,true
2017-10-31,2017,4,10,October,31,Tuesday,false
2018-04-07,2018,2,4,April,7,Saturday,true
2018-07-29,2018,3,7,July,29,Sunday,true
2016-10-07,2016,4,10,October,7,Friday,false
2017-02-16,2017,1,2,February,16,Thursday,false
2017-03-17,2017,1,3,March,17,Friday,false
2017-06-20,2017,2,6,June,20,Tuesday,false
2016-09-04,2016,3,9,September,4,Sunday,true
2018-09-03,2018,3,9,September,3,Monday,false
2018-09-11,2018,3,9,September,11,Tuesday,false
2016-10-22,2016,4,10,October,22,Saturday,true
2018-02-03,2018,1,2,February,3,Saturday,true
2018-02-27,2018,1,2,February,27,Tuesday,false
2017-09-19,2017,3,9,September,19,Tuesday,false
2017-04-25,2017,2,4,April,25,Tuesday,false
2017-06-24,2017,2,6,June,24,Saturday,true
