date_key,year,quarter,month,month_name,day,day_of_week,is_weekend
2017-12-11,2017,4,12,December,11,Monday,false
2018-02-14,2018,1,2,February,14,Wednesday,false
2017-09-23,2017,3,9,September,23,Saturday,true
2018-08-20,2018,3,8,August,20,Monday,false
2018-06-29,2018,2,6,June,29,Friday,false
2017-02-06,2017,1,2,February,6,Monday,false
2017-10-19,2017,4,10,October,19,Thursday,false
2017-07-17,2017,3,7,July,17,Monday,false
2017-05-13,2017,2,5,May,13,Saturday,true
2017-02-07,2017,1,2,February,7,Tuesday,false
2017-06-03,2017,2,6,June,3,Saturday,true
2017-03-13,2017,1,3,March,13,Monday,false
2017-06-19,2017,2,6,June,19,Monday,false
2017-07-21,2017,3,7,July,21,Friday,false
2017-11-18,2017,4,11,November,18,Saturday,true
2017-06-15,2017,2,6,June,15,Thursday,false
2017-04-20,2017,2,4,April,20,Thursday,false
2017-01-19,2017,1,1,January,19,Thursday,false
2017-02-17,2017,1,2,February,17,Friday,false
2017-01-22,2017,1,1,January,22,Sunday,true
2017-03-07,2017,1,3,March,7,Tuesday,false
2018-07-07,2018,3,7,July,7,Saturday,true
2018-09-13,2018,3,9,September,13,Thursday,false
2018-01-03,2018,1,1,January,3,Wednesday,false
2017-05-23,2017,2,5,May,23,Tuesday,false
2017-07-10,2017,3,7,July,10,Monday,false
2018-06-10,2018,2,6,June,10,Sunday,true
2017-02-04,2017,1,2,February,4,Saturday,true
2017-04-30,2017,2,4,April,30,Sunday,true
2018-08-15,2018,3,8,August,15,Wednesday,false
2018-08-18,2018,3,8,August,18,Saturday,true
2017-07-02,2017,3,7,July,2,Sunday,true
2017-11-23,2017,4,11,November,23,Thursday,false
2017-06-27,2017,2,6,June,27,Tuesday,false
2018-08-17,2018,3,8,August,17,Friday,false
2018-08-07,2018,3,8,August,7,Tuesday,false
2018-06-25,2018,2,6,June,25,Monday,false
2017-05-02,2017,2,5,May,2,Tuesday,false
2018-05-10,2018,2,5,May,10,Thursday,false
2017-10-17,2017,4,10,October,17,Tuesday,false
2017-06-11,2017,2,6,June,11,Sunday,true
2018-06-20,2018,2,6,June,20,Wednesday,false
2018-07-03,2018,3,7,July,3,Tuesday,false
2017-03-24,2017,1,3,March,24,Friday,false
2017-08-09,2017,3,8,August,9,Wednesday,false
2018-01-28,2018,1,1,January,28,Sunday,true
2017-01-07,2017,1,1,January,7,Saturday,true
2017-04-22,2017,2,4,April,22,Saturday,true
2018-07-08,2018,3,7,July,8,Sunday,true
2017-09-24,2017,3,9,September,24,Sunday,true
2017-08-01,2017,3,8,August,1,Tuesday,false
2017-04-18,2017,2,4,April,18,Tuesday,false
2018-02-02,2018,1,2,February,2,Friday,false
2017-09-22,2017,3,9,September,22,Friday,false
2017-01-23,2017,1,1,January,23,Monday,false
2017-12-29,2017,4,12,December,29,Friday,false
2017-08-05,2017,3,8,August,5,Saturday,true
2017-10-07,2017,4,10,October,7,Saturday,true
2017-05-08,2017,2,5,May,8,Monday,false
2017-10-06,2017,4,10,October,6,Friday,false
2017-12-16,2017,4,12,December,16,Saturday,true
2017-01-24,2017,1,1,January,24,Tuesday,false
2017-05-28,2017,2,5,May,28,Sunday,true
2017-02-25,2017,1,2,February,25,Saturday,true
2017-10-16,2017,4,10,October,16,Monday,false
2017-07-01,2017,3,7,July,1,Saturday,true
2017-09-29,2017,3,9,September,29,Friday,false
2018-02-16,2018,1,2,February,16,Friday,false
2017-03-31,2017,1,3,March,31,Friday,false
2017-06-25,2017,2,6,June,25,Sunday,true
2018-07-31,2018,3,7,July,31,Tuesday,false
2018-01-14,2018,1,1,January,14,Sunday,true
2018-04-08,2018,2,4,April,8,Sunday,true
2017-04-06,2017,2,4,April,6,Thursday,false
2018-07-06,2018,3,7,July,6,Friday,false
2018-06-07,2018,2,6,June,7,Thursday,false
2018-08-04,2018,3,8,August,4,Saturday,true
2018-07-18,2018,3,7,July,18,Wednesday,false
2017-06-29,2017,2,6,June,29,Thursday,false
2017-09-14,2017,3,9,September,14,Thursday,false
2017-03-22,2017,1,3,March,22,Wednesday,false
2018-02-23,2018,1,2,February,23,Friday,false
2017-05-24,2017,2,5,May,24,Wednesday,false
2017-10-04,2017,4,10,October,4,Wednesday,false
2017-08-21,2017,3,8,August,21,Monday,false
2017-10-26,2017,4,10,October,26,Thursday,false
2018-04-29,2018,2,4,April,29,Sunday,true
2017-08-29,2017,3,8,August,29,Tuesday,false
2017-06-08,2017,2,6,June,8,Thursday,false
2018-01-06,2018,1,1,January,6,Saturday,true
2018-05-18,2018,2,5,May,18,Friday,false
2018-05-27,2018,2,5,May,27,Sunday,true
2017-06-13,2017,2,6,June,13,Tuesday,false
2017-12-12,2017,4,12,December,12,Tuesday,false
2018-04-20,2018,2,4,April,20,Friday,false
2017-11-03,2017,4,11,November,3,Friday,false
2018-04-21,2018,2,4,April,21,Saturday,true
2017-06-26,2017,2,6,June,26,Monday,false
2018-05-06,2018,2,5,May,6,Sunday,true
2017-06-28,2017,2,6,June,28,Wednesday,false
2017-05-20,2017,2,5,May,20,Saturday,true
2018-08-29,2018,3,8,August,29,Wednesday,false
2017-01-20,2017,1,1,January,20,Friday,false
2016-09-15,2016,3,9,September,15,Thursday,false
2017-01-08,2017,1,1,January,8,Sunday,true
2017-06-17,2017,2,6,June,17,Saturday,true
2018-03-14,2018,1,3,March,14,Wednesday,false
2018-03-01,2018,1,3,March,1,Thursday,false
2017-12-10,2017,4,12,December,10,Sunday,true
2018-04-23,2018,2,4,April,23,Monday,false
2017-07-16,2017,3,7,July,16,Sunday,true
2018-03-11,2018,1,3,March,11,Sunday,true
2017-08-20,2017,3,8,August,20,Sunday,true
2018-03-28,2018,1,3,March,28,Wednesday,false
2018-01-21,2018,1,1,January,21,Sunday,true
2018-07-23,2018,3,7,July,23,Monday,false
2018-03-30,2018,1,3,March,30,Friday,false
2018-05-03,2018,2,5,May,3,Thursday,false
2017-03-16,2017,1,3,March,16,Thursday,false
2017-10-29,2017,4,10,October,29,Sunday,true
2017-10-02,2017,4,10,October,2,Monday,false
2017-06-14,2017,2,6,June,14,Wednesday,false
2018-03-31,2018,1,3,March,31,Saturday,true
2018-05-29,2018,2,5,May,29,Tuesday,false
2018-03-12,2018,1,3,March,12,Monday,false
2018-05-08,2018,2,5,May,8,Tuesday,false
2017-03-27,2017,1,3,March,27,Monday,false
2017-05-01,2017,2,5,May,1,Monday,false
2018-08-16,2018,3,8,August,16,Thursday,false
2017-05-31,2017,2,5,May,31,Wednesday,false
2017-07-31,2017,3,7,July,31,Monday,false
2018-05-22,2018,2,5,May,22,Tuesday,false
2017-02-23,2017,1,2,February,23,Thursday,false
2017-03-09,2017,1,3,March,9,Thursday,false
2017-08-30,2017,3,8,August,30,Wednesday,false
2017-01-28,2017,1,1,January,28,Saturday,true
2017-07-24,2017,3,7,July,24,Monday,false
2017-03-10,2017,1,3,March,10,Friday,false
2017-05-03,2017,2,5,May,3,Wednesday,false
2018-05-23,2018,2,5,May,23,Wednesday,false
2017-06-01,2017,2,6,June,1,Thursday,false
